Title,Artist,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Testify,6wWolsiSlEjSN6NbVw8Og4,0.652,0.517,0.703,0.228,0.228,-10.04,0.0438,0.508,98.428,24
One of One,0ubKW0LAlkCq5RX27JCC7o,0.0502,0.541,0.875,0.926,0.926,-7.068,0.102,0.4,125.044,20
The Space Travelers Lullaby,7G1BDlsQntzvbFRoAQ4r7G,0.713,0.15,0.37,0.859,0.859,-9.794,0.0317,0.116,84.549,21
Vi Lua Vi Sol,0On6tVhk7uXDl6CUPzqGjM,0.366,0.415,0.767,0.797,0.797,-8.507,0.11,0.477,104.817,21
Song For The Fallen,7ohNEvwIw0tktqMLTxZJB5,0.561,0.382,0.711,0.897,0.897,-10.741,0.0652,0.269,108.157,19
Journey,2dVtUT8KznRTljDTuNDeKL,0.889,0.351,0.454,0.411,0.411,-12.033,0.0517,0.219,94.738,19
The Psalmnist,5DGSGrhhKvSDQbCPk77s4T,0.421,0.62,0.856,0.866,0.866,-8.293,0.111,0.579,111.563,18
Show Us The Way,4DyIR29DPlnMzLsVj4lGPY,0.315,0.303,0.878,0.0563,0.0563,-8.278,0.108,0.161,116.167,19
Will You Sing,0m7OuucR3TTpE4LgzQaCPv,0.691,0.309,0.789,0.844,0.844,-9.223,0.0906,0.331,87.069,18
Magical Mystery Tour - Remastered 2009,0qHMhBZqYb99yhX9BHcIkV,0.0385,0.297,0.613,3.98e-05,3.98e-05,-9.065,0.0931,0.338,170.962,52
The Fool On The Hill - Remastered 2009,6rHh8urosEFRI67xVa6fzU,0.913,0.356,0.26,2.1e-06,2.1e-06,-10.577,0.0314,0.49,144.184,57
Flying - Remastered 2009,1itLKsCWHtLnxALkgBk1Fa,0.368,0.551,0.395,0.88,0.88,-14.755,0.0501,0.261,92.929,50
Blue Jay Way - Remastered 2009,0QIX9BS0AUCQcHYvyrsMkV,0.0258,0.294,0.407,0.000219,0.000219,-11.575,0.0308,0.0378,101.052,50
Your Mother Should Know - Remastered 2009,1dxbAIfCASqv6jix2R1Taj,0.784,0.698,0.293,0.0106,0.0106,-11.361,0.0332,0.724,117.613,54
Strawberry Fields Forever - Remastered 2009,3Am0IbOxmvlSXro7N5iSfZ,0.336,0.39,0.502,0.000138,0.000138,-12.277,0.178,0.289,97.871,70
Penny Lane - Remastered 2009,1h04XMpzGzmAudoI6VHBgA,0.212,0.651,0.488,0.026,0.026,-8.22,0.0316,0.49,113.038,66
