Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity,Predict,Karaokability
Lovely Rita - Remastered 2009,6h9W5FxX4E9lUFsyq8j1AD,0.0634,0.61,0.47100000000000003,0.0,0.0,-9.151,0.0261,0.63,87.37899999999999,53,1,0.8257391105195043
When You Were Young,70wYA8oYHoMzhRRkARoMhU,0.000152,0.467,0.988,0.0484,0.28,-3.313,0.112,0.321,130.433,76,1,0.8257328664075895
I've Got You Under My Skin - Remastered 1998,3aEJMh1cXKEjgh52claxQp,0.452,0.585,0.247,8.85e-06,8.85e-06,-12.612,0.04,0.591,127.15,68,1,0.825448154210171
Take Care,124NFj84ppZ5pAxTuVQYCQ,0.0267,0.629,0.515,1.22e-05,0.0888,-10.358,0.265,0.299,121.845,73,1,0.8252469240479353
I Wanna Be Sedated,5NoQvINZLBV1wMYPdNmReL,0.121,0.56,0.965,6.23e-06,0.16899999999999998,-2.341,0.0409,0.964,162.825,66,1,0.8247684041378266
Sunsets For Somebody Else,41Az1BCotlAUt7Ud8k6H2Y,0.828,0.696,0.22899999999999998,1.34e-05,1.34e-05,-7.9110000000000005,0.0331,0.603,113.273,66,1,0.8247627608840019
Cry Me a River,7Lf7oSEVdzZqTA0kEDSlS5,0.575,0.624,0.653,0.0,0.104,-6.582000000000002,0.17600000000000002,0.565,73.884,74,1,0.8239620693004605
Crisis (feat. 21 Savage),6GmjF0MtrK8UHQlIh6tzRt,0.0699,0.898,0.6709999999999999,5.17e-05,5.17e-05,-5.942,0.22699999999999998,0.6679999999999999,144.99200000000002,0,1,0.8237393997953039
Bound 2,3sNVsP50132BTNlImLx70i,0.145,0.36700000000000005,0.665,0.0,0.0,-2.821,0.0465,0.31,148.91299999999998,72,1,0.8236870662402154
Maui Hawaiian Sup'pa Man,33pj1QE0DnA6B3rcyNr0ji,0.295,0.679,0.877,1.05e-06,1.05e-06,-5.337000000000001,0.028999999999999998,0.9059999999999999,153.071,37,1,0.8236772232364277
That's the Way (I Like It) - 2004 Remaster,1qiQduM84A0VeH8Y2uAbqi,0.191,0.68,0.877,0.000656,0.349,-10.241,0.0353,0.922,108.674,61,1,0.8235657481140874
