Title,ID,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Valence,Tempo,Popularity
Noon To Noon,2vJyWO3B5Kh982QE45S1Tl,0.881,0.575,0.231,0.219,0.122,-17.459,0.0341,0.636,85.538,22
Grey Area,6jzW19SQaLj1kLArvipGQZ,0.0679,0.897,0.767,0.000364,0.129,-4.544,0.0959,0.675,134.913,69
Already Done,2bcjiEmggC5r06kuLuwGIm,0.0381,0.461,0.595,0.0,0.165,-7.814,0.0335,0.231,130.1,46
Mia & Sebastian’s Theme,1Vk4yRsz0iBzDiZEoFMQyv,0.976,0.476,0.192,0.928,0.119,-15.753,0.064,0.114,116.542,63
Herman’s Habit,4f6PUDRYJI51UrZy0jDAxD,0.0634,0.588,0.593,0.889,0.214,-9.448,0.052,0.668,123.678,54
Planetarium,70RecAVg5QudOXfJs64sM5,0.92,0.248,0.142,0.733,0.548,-15.443,0.0379,0.0439,128.841,56
Summer Montage / Madeline,4S3DXtdTdgOIezKgu8DR0M,0.113,0.596,0.502,0.797,0.264,-6.783,0.0277,0.653,107.719,54
Epilogue,5zZY5LXTgeTmuPMR0bTgJW,0.991,0.535,0.0843,0.899,0.096,-23.232,0.0534,0.268,71.992,60
THE END,4w7vZjpsnpKizj7NE0Nuld,0.0242,0.639,0.711,0.0,0.142,-4.244,0.0315,0.605,102.95,70
City Of Stars (Humming),3gbwtdRrtD05lz08DTxfFt,0.975,0.564,0.0136,0.0168,0.111,-24.79,0.0349,0.397,93.205,56
Cosmos Main Title,0ULyPCxoU9yrQvbhAra9IP,0.87,0.114,0.056,0.158,0.144,-21.1,0.0406,0.0387,75.221,29
Come with Me Now,2kWowW0k4oFymhkr7LmvzO,0.0311,0.654,0.726,6.35e-05,0.0618,-3.803,0.0401,0.728,103.987,68
"""The Cosmos Is Yours""",3hdfT9f2jWMxXte12YU3Go,0.921,0.22,0.231,0.852,0.15,-16.967,0.0365,0.0356,115.441,19
Virgo Supercluster,2hfPZl2AuvFJ8ZDpKtqHXw,0.722,0.139,0.178,0.523,0.614,-19.446,0.0402,0.0345,178.917,20
Multiverse,6ovXUEUiOirA5SHICrI9Yu,0.0113,0.419,0.827,0.00128,0.303,-4.56,0.0764,0.101,148.055,34
Giordano Bruno,1qCSjo666qeImD4ypPBZie,0.944,0.196,0.0759,0.822,0.14,-22.787,0.0389,0.0599,77.674,21
Revelation of Immensity,4dkasKm3QhSdbKTeyZ7aoK,0.915,0.205,0.148,0.471,0.137,-17.306,0.0408,0.0324,111.616,17
The Inquisition Marches,2o7WFrqWv5e3Be8LhhX5Kx,0.297,0.399,0.576,0.907,0.105,-10.603,0.0412,0.115,112.863,32
The Staggering Immensity of Time,4vGrrNGRlxDJL4eWjabuPV,0.943,0.208,0.0884,0.728,0.151,-18.709,0.0334,0.0318,70.28,16
Star Stuff,0DpSteKEZIJLAE5ayG4IX6,0.0268,0.501,0.719,0.00661,0.0896,-5.118,0.0291,0.61,114.817,34
No Natural Order,0GbFBLIMDcDBLIHKyxmd3S,0.000244,0.144,0.685,0.164,0.372,-10.393,0.0703,0.0913,80.272,11
New Year's Eve,3SgCExED2NXbd4oJh0vZdW,0.962,0.428,0.13,0.888,0.109,-24.518,0.0421,0.16,94.044,53
"""Our Journey Is Just Beginning""",4K3HgCO0Lrrdlsgf1wpSF2,0.932,0.171,0.0749,0.948,0.116,-19.999,0.0355,0.0335,141.74,16
Can You Hear Him,4DFhsqrWFcdn7hciEc2KVu,0.291,0.339,0.911,0.928,0.0896,-6.393,0.142,0.441,125.479,24
Hub-Tones,4fiu1Jrn7VA6V8Jdl6v76L,0.483,0.502,0.815,0.917,0.161,-8.1,0.0895,0.687,127.811,24
